model,target,mean_R2,std_R2,s0_f0,s0_f1,s0_f2,s0_f3,s0_f4,s1_f0,s1_f1,s1_f2,s1_f3,s1_f4,s2_f0,s2_f1,s2_f2,s2_f3,s2_f4,s3_f0,s3_f1,s3_f2,s3_f3,s3_f4,s4_f0,s4_f1,s4_f2,s4_f3,s4_f4
XGBoost,FCC_0pct,0.999280660862496,0.0002665857300686457,0.9995481703637494,0.9994152686907962,0.9994507757074592,0.9994320209425464,0.9993834999458633,0.9989652701120337,0.9993953486764882,0.999404146249707,0.9993105434950459,0.9993121768903037,0.9995370153173563,0.9995588357451574,0.9995577521687445,0.9993823689785979,0.9994472219630115,0.9992526352475252,0.999483427476117,0.9993343035897966,0.9992388516654831,0.9993092166894272,0.9989325802980801,0.9990182499757931,0.9984014681565342,0.9988369812167336,0.9991083920000493
SVR,FCC_0pct,0.9977025092353443,0.0008243415630864888,0.997740014098851,0.997868477447519,0.9987249837051531,0.9979760497792814,0.9962030211459177,0.997740014098851,0.997868477447519,0.9987249837051531,0.9979760497792814,0.9962030211459177,0.997740014098851,0.997868477447519,0.9987249837051531,0.9979760497792814,0.9962030211459177,0.997740014098851,0.997868477447519,0.9987249837051531,0.9979760497792814,0.9962030211459177,0.997740014098851,0.997868477447519,0.9987249837051531,0.9979760497792814,0.9962030211459177
Ridge,FCC_0pct,0.9534355058504318,0.0010889396512912268,0.9543952600455784,0.9532746397721579,0.9545477445475998,0.9515004874823796,0.9534593974044432,0.9543952600455784,0.9532746397721579,0.9545477445475998,0.9515004874823796,0.9534593974044432,0.9543952600455784,0.9532746397721579,0.9545477445475998,0.9515004874823796,0.9534593974044432,0.9543952600455784,0.9532746397721579,0.9545477445475998,0.9515004874823796,0.9534593974044432,0.9543952600455784,0.9532746397721579,0.9545477445475998,0.9515004874823796,0.9534593974044432
Lasso,FCC_0pct,0.9534078775085125,0.0011063683468534083,0.9543451604290519,0.9532715760949326,0.9545794459114373,0.9514456086627358,0.9533975964444049,0.9543451604290519,0.9532715760949326,0.9545794459114373,0.9514456086627358,0.9533975964444049,0.9543451604290519,0.9532715760949326,0.9545794459114373,0.9514456086627358,0.9533975964444049,0.9543451604290519,0.9532715760949326,0.9545794459114373,0.9514456086627358,0.9533975964444049,0.9543451604290519,0.9532715760949326,0.9545794459114373,0.9514456086627358,0.9533975964444049
MLP,FCC_0pct,0.9071988309857103,0.04643080924438544,0.9633146685551872,0.93166748500567,0.8916406588525246,0.9068886542539961,0.96583731602833,0.8725798212011125,0.8100510691993597,0.8516203027066512,0.8667373285629815,0.9516645358043093,0.8837122167958151,0.8772677910384761,0.8626561684437801,0.8102134563813927,0.8744011054806019,0.954672078733542,0.9487347682490294,0.9295907487066889,0.9649802615230915,0.9549714584599258,0.8752250473440788,0.9294875362990054,0.9090502653356533,0.9306777014420388,0.9623283302395195
RandomForest,HCP_0pct,0.7858469827612246,0.027172305283629877,0.7967660454024798,0.8015730514513941,0.8218625217245248,0.7634643172607577,0.7454522267976718,0.7989714315439261,0.7987499799664559,0.8211399517548146,0.7629575916265743,0.7493300302570247,0.7995570760995507,0.7995588596631651,0.8213763260640605,0.7640212044546499,0.7458943188714711,0.7994156011759311,0.7978515228174676,0.8222364599953995,0.7638506800957282,0.7433015789347143,0.7980563193037513,0.7984965357773828,0.8211304225684612,0.7649832052972484,0.7461773101260096
GradientBoosting,HCP_0pct,0.7773606924648897,0.021893213927874487,0.7756263942358974,0.7771317364164588,0.812814860169266,0.764112527539809,0.7434242567632663,0.7810874547150402,0.7796419190224518,0.8114758477748303,0.7725613256368109,0.7442169881220166,0.7828961668964569,0.785034531836653,0.8105952389595226,0.7717796542802559,0.7487250073199525,0.771788758345636,0.7808871550742168,0.8152461623149785,0.7702539001454998,0.7528063731417787,0.7826121180876249,0.7821554120673513,0.8145437735532721,0.7591159829272794,0.7434837662759154
XGBoost,HCP_0pct,0.7746836148308163,0.020581008666591953,0.7786957771116844,0.7804233768774743,0.8057923517010199,0.7632727151613189,0.7438667560377855,0.7802485553389751,0.7870520351970758,0.8022901972030991,0.7594811897464748,0.7471838693092498,0.7728952196412935,0.7822368076615087,0.8084449334728794,0.7620691809473188,0.7443215031284715,0.768214152908584,0.7828907668264955,0.808459029304664,0.7552498455898508,0.7484428593287125,0.781217046146904,0.781252196037549,0.8077398239903788,0.7677974538838026,0.747552728217832
SVR,HCP_0pct,0.7239149587488938,0.030705823657043406,0.6979405909126664,0.745762498707834,0.773847418661487,0.6978556629246812,0.7041686225378002,0.6979405909126664,0.745762498707834,0.773847418661487,0.6978556629246812,0.7041686225378002,0.6979405909126664,0.745762498707834,0.773847418661487,0.6978556629246812,0.7041686225378002,0.6979405909126664,0.745762498707834,0.773847418661487,0.6978556629246812,0.7041686225378002,0.6979405909126664,0.745762498707834,0.773847418661487,0.6978556629246812,0.7041686225378002
Ridge,HCP_0pct,0.6897042467734212,0.013726093660588048,0.6862080734502529,0.6803546454782378,0.7016324729352474,0.708867117299807,0.6714589247035605,0.6862080734502529,0.6803546454782378,0.7016324729352474,0.708867117299807,0.6714589247035605,0.6862080734502529,0.6803546454782378,0.7016324729352474,0.708867117299807,0.6714589247035605,0.6862080734502529,0.6803546454782378,0.7016324729352474,0.708867117299807,0.6714589247035605,0.6862080734502529,0.6803546454782378,0.7016324729352474,0.708867117299807,0.6714589247035605
Lasso,HCP_0pct,0.6888525312718761,0.013346974524376784,0.6838069752113813,0.6805728702577272,0.7024708707054967,0.7061873329256312,0.6712246072591438,0.6838069752113813,0.6805728702577272,0.7024708707054967,0.7061873329256312,0.6712246072591438,0.6838069752113813,0.6805728702577272,0.7024708707054967,0.7061873329256312,0.6712246072591438,0.6838069752113813,0.6805728702577272,0.7024708707054967,0.7061873329256312,0.6712246072591438,0.6838069752113813,0.6805728702577272,0.7024708707054967,0.7061873329256312,0.6712246072591438
MLP,HCP_0pct,0.6979654595034387,0.03791659365726948,0.7379604290402219,0.7113054874554467,0.6850531263451656,0.6899705904978023,0.6824011834559716,0.6992617047692185,0.7593321577924304,0.6802428085201411,0.7063308798539387,0.70011616255674,0.6805479575037316,0.756971414398529,0.7215835004430419,0.7131809539945675,0.7250159063726824,0.6550579982773104,0.7540032549708969,0.7631538672216882,0.6337285247752488,0.6837022667062436,0.6261757735700202,0.7016654205352351,0.6402346780602982,0.6900603187197796,0.6520801217496162
